,file,bytes,name,instrument,percussion,note,octave,pitch,length,dynamic,style
6344,oboe/oboe_Fs4_15_mezzo-forte_normal.mp3,21212,oboe_Fs4_15_mezzo-forte_normal,oboe,False,F#,4.0,369.99,15,mezzo-forte,normal
6345,oboe/oboe_Ds4_15_piano_normal.mp3,20897,oboe_Ds4_15_piano_normal,oboe,False,D#,4.0,311.13,15,piano,normal
6346,oboe/oboe_D4_1_forte_minor-trill.mp3,38453,oboe_D4_1_forte_minor-trill,oboe,False,D,4.0,293.66,1,forte,minor-trill
6347,oboe/oboe_G5_15_forte_normal.mp3,23406,oboe_G5_15_forte_normal,oboe,False,G,5.0,783.99,15,forte,normal
6348,oboe/oboe_Cs4_1_mezzo-forte_normal.mp3,18704,oboe_Cs4_1_mezzo-forte_normal,oboe,False,C#,4.0,277.18,1,mezzo-forte,normal
6349,oboe/oboe_C6_15_piano_normal.mp3,20585,oboe_C6_15_piano_normal,oboe,False,C,6.0,1046.5,15,piano,normal
6350,oboe/oboe_Cs4_025_fortissimo_normal.mp3,8046,oboe_Cs4_025_fortissimo_normal,oboe,False,C#,4.0,277.18,025,fortissimo,normal
6351,oboe/oboe_B4_15_forte_normal.mp3,21839,oboe_B4_15_forte_normal,oboe,False,B,4.0,493.88,15,forte,normal
6352,oboe/oboe_Fs6_025_piano_normal.mp3,8673,oboe_Fs6_025_piano_normal,oboe,False,F#,6.0,1479.98,025,piano,normal
6353,oboe/oboe_Fs5_05_piano_normal.mp3,13375,oboe_Fs5_05_piano_normal,oboe,False,F#,5.0,739.99,05,piano,normal
6354,oboe/oboe_E4_025_forte_normal.mp3,7419,oboe_E4_025_forte_normal,oboe,False,E,4.0,329.63,025,forte,normal
6355,oboe/oboe_B3_1_fortissimo_normal.mp3,16823,oboe_B3_1_fortissimo_normal,oboe,False,B,3.0,246.94,1,fortissimo,normal
6356,oboe/oboe_C6_15_fortissimo_normal.mp3,21525,oboe_C6_15_fortissimo_normal,oboe,False,C,6.0,1046.5,15,fortissimo,normal
6357,oboe/oboe_F4_15_piano_normal.mp3,18389,oboe_F4_15_piano_normal,oboe,False,F,4.0,349.23,15,piano,normal
6358,oboe/oboe_Ds5_1_forte_normal.mp3,17137,oboe_Ds5_1_forte_normal,oboe,False,D#,5.0,622.25,1,forte,normal
6359,oboe/oboe_G6_15_forte_normal.mp3,21212,oboe_G6_15_forte_normal,oboe,False,G,6.0,1567.98,15,forte,normal
6360,oboe/oboe_Ds4_05_mezzo-forte_normal.mp3,12434,oboe_Ds4_05_mezzo-forte_normal,oboe,False,D#,4.0,311.13,05,mezzo-forte,normal
6361,oboe/oboe_F6_05_fortissimo_normal.mp3,14002,oboe_F6_05_fortissimo_normal,oboe,False,F,6.0,1396.91,05,fortissimo,normal
6362,oboe/oboe_As5_15_fortissimo_normal.mp3,21212,oboe_As5_15_fortissimo_normal,oboe,False,A#,5.0,932.33,15,fortissimo,normal
6363,oboe/oboe_Fs6_05_piano_normal.mp3,14629,oboe_Fs6_05_piano_normal,oboe,False,F#,6.0,1479.98,05,piano,normal
6364,oboe/oboe_G5_15_mezzo-forte_normal.mp3,19958,oboe_G5_15_mezzo-forte_normal,oboe,False,G,5.0,783.99,15,mezzo-forte,normal
6365,oboe/oboe_Fs5_1_fortissimo_normal.mp3,15256,oboe_Fs5_1_fortissimo_normal,oboe,False,F#,5.0,739.99,1,fortissimo,normal
6366,oboe/oboe_D6_025_fortissimo_normal.mp3,7419,oboe_D6_025_fortissimo_normal,oboe,False,D,6.0,1174.66,025,fortissimo,normal
6367,oboe/oboe_E4_1_forte_tremolo.mp3,22779,oboe_E4_1_forte_tremolo,oboe,False,E,4.0,329.63,1,forte,tremolo
6368,oboe/oboe_Fs5_phrase_mezzo-forte_tongued-slur.mp3,93310,oboe_Fs5_phrase_mezzo-forte_tongued-slur,oboe,False,F#,5.0,739.99,phrase,mezzo-forte,tongued-slur
6369,oboe/oboe_Cs6_05_fortissimo_normal.mp3,14315,oboe_Cs6_05_fortissimo_normal,oboe,False,C#,6.0,1108.73,05,fortissimo,normal
6370,oboe/oboe_C5_1_forte_normal.mp3,17450,oboe_C5_1_forte_normal,oboe,False,C,5.0,523.25,1,forte,normal
6371,oboe/oboe_As3_025_piano_normal.mp3,6164,oboe_As3_025_piano_normal,oboe,False,A#,3.0,233.08,025,piano,normal
6372,oboe/oboe_G6_05_mezzo-forte_normal.mp3,14002,oboe_G6_05_mezzo-forte_normal,oboe,False,G,6.0,1567.98,05,mezzo-forte,normal
6373,oboe/oboe_Fs4_1_piano_normal.mp3,15255,oboe_Fs4_1_piano_normal,oboe,False,F#,4.0,369.99,1,piano,normal
6374,oboe/oboe_Cs6_025_forte_normal.mp3,7732,oboe_Cs6_025_forte_normal,oboe,False,C#,6.0,1108.73,025,forte,normal
6375,oboe/oboe_E6_1_forte_normal.mp3,14942,oboe_E6_1_forte_normal,oboe,False,E,6.0,1318.51,1,forte,normal
6376,oboe/oboe_E5_05_fortissimo_normal.mp3,14315,oboe_E5_05_fortissimo_normal,oboe,False,E,5.0,659.26,05,fortissimo,normal
6377,oboe/oboe_E5_025_piano_normal.mp3,5852,oboe_E5_025_piano_normal,oboe,False,E,5.0,659.26,025,piano,normal
6378,oboe/oboe_Cs5_phrase_mezzo-forte_staccato.mp3,95817,oboe_Cs5_phrase_mezzo-forte_staccato,oboe,False,C#,5.0,554.37,phrase,mezzo-forte,staccato
